seq,orderid,orderdate,shipdate,customerid,customername,customertype,국가,도시,주,우편번호,regiontype,productid,bigcategory,subcategory,productname,price,quantity,discount
4206,CA-2014-1453873,31/10/2014 0:00,02/11/2014 0:00,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South,FUR-FU-10002364,Furniture,Furnishings,"Eldon Expressions Wood Desk Accessories, Oak",42.78,2,0
4208,CA-2014-1453875,31/10/2014 0:00,02/11/2014 0:00,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South,FUR-FU-10000023,Furniture,Furnishings,Eldon Wave Desk Accessories,25.78,3,0
4209,CA-2014-1453876,31/10/2014 0:00,02/11/2014 0:00,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South,FUR-CH-10002320,Furniture,Chairs,Hon Pagoda Stacking Chairs,25.33,5,0
4210,CA-2014-1453877,31/10/2014 0:00,02/11/2014 0:00,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South,FUR-TA-10003238,Furniture,Tables,Chromcraft Bull-Nose Wood 48 x 96 Rectangular Conference Tables,62.33,1,0.3
2014,CA-2016-1459051,18/09/2016 0:00,23/09/2016 0:00,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South,FUR-CH-10001854,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,89.33,1,0
4270,US-2017-1248211,25/06/2017 0:00,29/06/2017 0:00,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South,FUR-TA-10000688,Furniture,Tables,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",62.33,4,0
6586,CA-2017-1047313,21/07/2017 0:00,27/07/2017 0:00,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South,FUR-FU-10003274,Furniture,Furnishings,Regeneration Desk Collection,26.78,5,0
6588,CA-2017-1047315,21/07/2017 0:00,27/07/2017 0:00,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South,FUR-BO-10003441,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",51,3,0
2744,CA-2015-1401441,20/06/2015 0:00,25/06/2015 0:00,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,FUR-FU-10002253,Furniture,Furnishings,Howard Miller 13 Diameter Pewter Finish Round Wall Clock,54.78,6,0
7415,US-2016-1140131,13/03/2016 0:00,15/03/2016 0:00,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,23.33,2,0.3
3615,CA-2017-1125291,19/11/2017 0:00,21/11/2017 0:00,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,FUR-TA-10002622,Furniture,Tables,"Bush Andora Conference Table, Maple/Graphite Gray Finish",55.33,6,0.3
9130,CA-2016-1309111,24/03/2016 0:00,26/03/2016 0:00,DC-12850,Dan Campbell,Consumer,United States,Florence,Alabama,35630,South,FUR-BO-10004357,Furniture,Bookcases,OSullivan Living Dimensions 3-Shelf Bookcases,44,3,0.5
7902,CA-2017-1283635,13/08/2017 0:00,18/08/2017 0:00,DC-12850,Dan Campbell,Consumer,United States,Florence,Alabama,35630,South,FUR-FU-10003268,Furniture,Furnishings,Eldon Radial Chair Mat for Low to Medium Pile Carpets,51.78,1,0.2
7904,CA-2017-1283637,13/08/2017 0:00,18/08/2017 0:00,DC-12850,Dan Campbell,Consumer,United States,Florence,Alabama,35630,South,FUR-CH-10002073,Furniture,Chairs,Hon Olson Stacker Chairs,23.33,2,0.2
8151,CA-2014-1679972,26/01/2014 0:00,29/01/2014 0:00,CA-11965,Carol Adams,Corporate,United States,Hoover,Alabama,35244,South,FUR-BO-10004409,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",74,2,0
7646,CA-2015-1614521,05/04/2015 0:00,11/04/2015 0:00,CA-11965,Carol Adams,Corporate,United States,Hoover,Alabama,35244,South,FUR-CH-10003973,Furniture,Chairs,GuestStacker Chair with Chrome Finish Legs,41.33,3,0.2
4285,CA-2015-1056901,21/11/2015 0:00,26/11/2015 0:00,CA-11965,Carol Adams,Corporate,United States,Hoover,Alabama,35244,South,FUR-BO-10003965,Furniture,Bookcases,OSullivan Manor Hill 2-Door Library in Brianna Oak,49,2,0.32
